"","x"
"241","MA_424619g0010"
"242","MA_248112g0010"
"243","MA_41476g0010"
"244","MA_87899g0010"
"245","MA_64156g0010"
"246","MA_6700463g0010"
"247","MA_82706g0010"
"248","MA_14977g0010"
"249","MA_7129g0010"
"250","MA_158556g0010"
"251","MA_40639g0010"
"252","MA_10436799g0030"
"253","MA_14317g0010"
"254","MA_10433238g0010"
"255","MA_158470g0010"
"256","MA_76956g0010"
"257","MA_28034g0010"
"258","MA_356609g0010"
"259","MA_10432433g0010"
"260","MA_130040g0010"
"261","MA_604159g0010"
"262","MA_9567870g0010"
"263","MA_11029g0010"
"264","MA_9812298g0010"
"265","MA_9092187g0010"
"266","MA_94930g0010"
"267","MA_100985g0010"
"268","MA_10425953g0010"
"269","MA_14925g0010"
"270","MA_54035g0010"
"271","MA_10435639g0020"
"272","MA_10430694g0010"
"273","MA_3688g0010"
"274","MA_15391g0010"
"275","MA_98236g0010"
"276","MA_10434268g0010"
"277","MA_112900g0020"
"278","MA_3677g0010"
"279","MA_489540g0010"
"280","MA_614767g0010"
"281","MA_164179g0010"
"282","MA_10350931g0020"
"283","MA_194g0030"
"284","MA_10436070g0040"
"285","MA_130946g0010"
"286","MA_58746g0010"
"287","MA_479353g0010"
"288","MA_97843g0010"
"289","MA_10430416g0010"
"290","MA_54284g0010"
"291","MA_74762g0010"
"292","MA_21652g0020"
"293","MA_9836g0010"
"294","MA_10429672g0010"
"295","MA_107785g0010"
"296","MA_140902g0010"
"297","MA_15755g0010"
"298","MA_181799g0010"
"299","MA_188576g0010"
"300","MA_19090g0010"
"301","MA_561902g0010"
"302","MA_502949g0010"
"303","MA_9787531g0010"
"304","MA_10147276g0010"
"305","MA_10436519g0020"
"306","MA_10433951g0030"
"307","MA_14051g0010"
"308","MA_8829511g0010"
"309","MA_2584g0010"
"310","MA_534242g0010"
"311","MA_59943g0010"
"312","MA_198752g0010"
"313","MA_481350g0010"
"314","MA_10428603g0010"
"315","MA_18937g0010"
"316","MA_7645347g0010"
"317","MA_444738g0010"
"318","MA_10426563g0010"
"319","MA_10433451g0010"
"320","MA_10433465g0030"
"321","MA_109131g0010"
"322","MA_16626g0010"
"323","MA_190560g0010"
"324","MA_219029g0010"
"325","MA_438267g0010"
"326","MA_5156g0010"
"327","MA_5195g0010"
"328","MA_55416g0010"
"329","MA_6194g0020"
"330","MA_41268g0010"
